"CarID","NameFirstPart","NameSecondPart","Year"
"a-a7r","Mazda RX-7","A-spec LM Edition","0"
"a-emn","Mazda Demio","A-spec(J) '97","97"
"a222n","Mazda RX-7","GT-Turbo(J) '83","83"
"a26sn","MX-5 Miata","1.6 S Package(J) '98","98"
"a28bn","Mazda RX-7","Type RB(J) '98","98"
"a28rn","Mazda RX-7","Type R(J) '98","98"
"a28sn","Mazda RX-7","Type RS(J) '98","98"
"a2aan","Mazda AZ-1","A-spec(J) '91","91"
"a2abn","MX-5 Miata","B Spec(J)","0"
"a2azn","Mazda AZ-1","(J) '91","91"
"a2bgn","Mazda Protegé","GT-R(J) '92","92"
"a2bin","Mazda Protegé","4Door Sedan(J) '89","89"
"a2bsn","Mazda Protegé","GT-X(J) '92","92"
"a2gcn","Mazda RX-7","GT-C(J) '99","99"
"a2gln","Demio","GL-X(J) '99","99"
"a2gsn","Demio","GL-X Special(J) '98","98"
"a2l7r","Mazda RX-7","GT-C LM Edition","0"
"a2mkr","Amemiya RX-7","(J) '99","99"
"a2ran","MX-5 Miata","A Spec(J)","0"
"a2rbn","Mazda RX-7","Type RB(J) '97","97"
"a2rcn","MX-5 Miata","C Spec(J)","0"
"a2rrn","Mazda RX-7","RS-R(J) '97","97"
"a2rsn","Mazda RX-7","Type RS(J) '97","97"
"a2rzn","Mazda RX-7","Type RZ(J) '97","97"
"a2spn","Mazda RX-7","Cabriolet(J) '90","90"
"a2swn","Mazda 323F","S-Wagon(J) '99","99"
"a2vsn","MX-5 Miata","1.8 VS(J) '98","98"
"acoen","Mazda Cosmo","Type-E(J) '94","94"
"acosn","Mazda Cosmo","Type-S(J) '94","94"
"ademn","Demio","GL-X(J) '97","97"
"adgln","Demio","GL(J) '97","97"
"adlxn","Demio","LX G Package(J) '97","97"
"afa7n","Mazda RX-7","A-spec(J) '96","96"
"afb7n","Mazda RX-7","Type RB(J) '96","96"
"afc7n","Mazda RX-7","Infini III(J) '90","90"
"afd7n","Mazda RX-7","Type RZ(J) '96","96"
"afn7r","Mazda RX-7","LM Edition","0"
"afo7n","Mazda RX-7","Type R(J) '91","91"
"afr7n","Mazda RX-7","GT-X(J) '90","90"
"afx7n","Mazda RX-7","Touring X(J) '96","96"
"altsn","Mazda 323F","Coupe Type-R(J)'93","93"
"aminn","MX-5 Miata","(J) '93","93"
"amisn","MX-5 Miata","S-Special(J) '93","93"
"amivn","MX-5 Miata","V-Special(J) '93","93"
"an16n","MX-5 Miata","(J) '89","89"
"arodn","MX-5 Miata","1.8 RS(J) '98","98"
"as16n","MX-5 Miata","S-Special(J) '92","92"
"av16n","MX-5 Miata","V-Special(J) '90","90"
"bistn","Storm V12","","0"
"bj15n","XJR","XJR Vehicle","0"
"bj22n","XJ220","GT Race Car","0"
"bjjrr","XJR15","GT Race Car","0"
"bjk8n","XK8","Coupe","0"
"bjkrn","XKR","","0"
"bjxjn","XJ","Sport 3.2","0"
"bmmgn","MGF","1.8i VVC","0"
"brm1r","MiniCooperMK1","","0"
"brmcn","Mini Cooper","1.3i","0"
"brmin","Mini 1.3","","0"
"bu41n","RUF BTR TypeI","","0"
"bu42n","RUF BTR TypeII","","0"
"bub2n","RUF BTR2","","0"
"buc1n","RUF CTR","Yellow Bird","0"
"buc9n","RUF CTR2","","0"
"bucrn","RUF CTR2","Sport","0"
"buctn","RUF RCT","","0"
"buthn","RUF Turbo-R","","0"
"bvasn","Astra","SRi 2.0i 16V","0"
"bvcdr","Calibra","Touring Car","0"
"bvcon","Corsa","Sport 1.6i 16V","0"
"bviir","Tigra","Ice Race Car","98"
"bvtin","Tigra","1.6i","0"
"bvven","Vectra","GSi 2.5 V6","0"
"c-30n","Camaro","Z28 30th Anniversary '96","96"
"c427n","Corvette 427","Stingray '69","69"
"cc67n","Corvette","Sting Ray '67","67"
"cc69n","Camaro","Z28 '69","69"
"cc82n","Corvette","Stingray '82","82"
"ccamn","Camaro","Z28 Coupe '97","97"
"ccrcn","Corvette","Coupe '96","96"
"ccrvn","Corvette","Grand Sport '96","96"
"ccssn","Camaro","SS '97","97"
"czr1n","Corvette","ZR-1 '95","95"
"d-pgr","Viper","GTS-R","0"
"d-phr","Concept Car","LM Edition","0"
"d2tvr","STP Viper","GT","99"
"dcaen","Avenger","ES","0"
"dcc1n","Charger"," '71","71"
"dcchn","Challenger","","72"
"dcien","Intrepid","ES","0"
"dcnan","Neon","ACR","0"
"dcnrn","Neon","R/T","0"
"dcphn","Concept Car","","0"
"dcptn","Phaeton","","0"
"dcsen","Stratus","ES","0"
